Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00       18     0.00     0.00  std::_Function_handler<bool (char), std::__detail::_CharMatcher<std::__cxx11::regex_traits<char>, true, true> >::_M_invoke(std::_Any_data const&, char&&)
  0.00      0.01     0.00       18     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__detail::_NFA<std::__cxx11::regex_traits<char> >, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_get_deleter(std::type_info const&)
  0.00      0.01     0.00       18     0.00     0.00  std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> >::vector(std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > const&)
  0.00      0.01     0.00       18     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> > const&)
  0.00      0.01     0.00       18     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      0.01     0.00       18     0.00     0.00  std::__detail::_StateSeq<std::__cxx11::regex_traits<char> >::_M_clone()
  0.00      0.01     0.00       16     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.01     0.00       15     0.00     0.00  channel::getMasses()
  0.00      0.01     0.00       13     0.00     0.00  filereader::getExpDataList[abi:cxx11]()
  0.00      0.01     0.00       12     0.00     0.00  channel::getChebySteps()
  0.00      0.01     0.00       12     0.00     0.00  channel::getChebyCoeffs()
  0.00      0.01     0.00       11     0.00     0.00  expchan::expchan(expchan const&)
  0.00      0.01     0.00       10     0.00     0.00  amplitude::getChanNames[abi:cxx11]()
  0.00      0.01     0.00       10     0.00     0.00  std::_Function_handler<double (double), main::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
  0.00      0.01     0.00        9     0.00     0.00  std::__detail::_NFA<std::__cxx11::regex_traits<char> >::_M_insert_accept()
  0.00      0.01     0.00        8     0.00     0.00  std::vector<expchan, std::allocator<expchan> >::~vector()
  0.00      0.01     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.01     0.00        6     0.00     0.00  channel::getS0()
  0.00      0.01     0.00        6     0.00     0.00  std::vector<amplitude, std::allocator<amplitude> >::~vector()
